CompensationCurrency,GenderSelect,Country,Age,EmploymentStatus,StudentStatus,LearningDataScience,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,LanguageRecommendationSelect,CompensationAmount,ExchangeRate(USA),CompensationYearUSD,Density
ARS,Female,Argentina,33,Employed full-time,,,Yes,,Data Scientist,Perfectly,Employed by professional services/consulting firm,,Master's degree,Computer Science,3 to 5 years,R,32000,0.058444,1870.208,42.37
ARS,Male,Argentina,39,Employed full-time,,,Yes,,Data Scientist,Poorly,Employed by professional services/consulting firm,,Master's degree,Mathematics or statistics,6 to 10 years,Python,730000,0.058444,42664.12,42.37
ARS,Male,Argentina,37,Employed full-time,,,Yes,,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,Computer Science,3 to 5 years,Python,500000,0.058444,29222,42.37
ARS,Male,Argentina,38,Employed full-time,,,Yes,,Researcher,Fine,Employed by government,No,Doctoral degree,Engineering (non-computer focused),More than 10 years,Python,360000,0.058444,21039.84,42.37
ARS,Male,Argentina,48,Employed full-time,,,Yes,,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,No,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,SQL,600000,0.058444,35066.4,42.37
ARS,Male,Argentina,30,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,Master's degree,Engineering (non-computer focused),1 to 2 years,Python,390000,0.058444,22793.16,42.37
ARS,Female,Argentina,33,Employed full-time,,,Yes,,DBA/Database Engineer,Fine,Employed by professional services/consulting firm,Yes,Professional degree,,6 to 10 years,Python,40000,0.058444,2337.76,42.37
ARS,Male,Argentina,32,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,Professional degree,,1 to 2 years,R,,0.058444,,42.37
ARS,Male,Argentina,32,Employed full-time,,,Yes,,Data Miner,Fine,Employed by professional services/consulting firm,Yes,Master's degree,,3 to 5 years,R,520000,0.058444,30390.88,42.37
ARS,Male,Argentina,25,Employed full-time,,,Yes,,Machine Learning Engineer,Fine,Employed by company that makes advanced analytic software,Yes,Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,Python,546000,0.058444,31910.424,42.37
ARS,Male,France,22,Employed part-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,Master's degree,Mathematics or statistics,Less than a year,SQL,500,0.058444,29.222,307.9
AUD,Male,Australia,38,Employed full-time,,,Yes,,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,Yes,Doctoral degree,Computer Science,More than 10 years,SQL,165000,0.80231,132381.15,8.498
AUD,Male,Australia,35,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by company that makes advanced analytic software,Yes,Master's degree,Computer Science,3 to 5 years,SQL,131500,0.80231,105503.765,8.498
AUD,Female,Australia,37,Employed part-time,,,Yes,,Data Analyst,Fine,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,,3 to 5 years,SQL,55000,0.80231,44127.05,8.498
AUD,Male,Australia,24,Employed full-time,,,Yes,,Statistician,Perfectly,Employed by government,Sort of (Explain more),Bachelor's degree,Mathematics or statistics,3 to 5 years,R,70000,0.80231,56161.7,8.498
AUD,Male,Australia,36,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,Master's degree,Computer Science,More than 10 years,R,170000,0.80231,136392.7,8.498
AUD,Male,Australia,34,Employed full-time,,,Yes,,Data Scientist,Poorly,Employed by a company that doesn't perform advanced analytics,,Doctoral degree,Physics,6 to 10 years,Python,160000,0.80231,128369.6,8.498
AUD,Male,Australia,38,Employed full-time,,,Yes,,Data Analyst,Fine,"Employed by a company that performs advanced analytics,Employed by government",No,Master's degree,Electrical Engineering,More than 10 years,Python,120000,0.80231,96277.2,8.498
AUD,Male,Australia,37,Employed full-time,,,Yes,,Other,Poorly,Employed by government,Sort of (Explain more),Master's degree,Physics,More than 10 years,Other,75000,0.80231,60173.25,8.498
AUD,Male,Australia,27,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by college or university,Sort of (Explain more),Bachelor's degree,Electrical Engineering,Less than a year,Python,86000,0.80231,68998.66,8.498
AUD,Male,Australia,27,Employed full-time,,,Yes,,Data Scientist,Perfectly,Employed by professional services/consulting firm,,Bachelor's degree,Mathematics or statistics,3 to 5 years,R,130000,0.80231,104300.3,8.498
AUD,Female,Australia,57,Employed full-time,,,Yes,,Researcher,Fine,"Employed by professional services/consulting firm,Employed by a company that performs advanced analytics",No,Master's degree,Mathematics or statistics,More than 10 years,R,150000,0.80231,120346.5,8.498
AUD,Female,Australia,31,Employed part-time,,,Yes,,Data Scientist,Fine,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",,Bachelor's degree,Physics,3 to 5 years,Python,125,0.80231,100.28875,8.498
AUD,Male,Australia,24,Employed full-time,,,Yes,,Business Analyst,Poorly,Employed by professional services/consulting firm,No,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,Python,98000,0.80231,78626.38,8.498
AUD,Male,Australia,50,"Independent contractor, freelancer, or self-employed",,,Yes,,Data Miner,Fine,Self-employed,Sort of (Explain more),Master's degree,Mathematics or statistics,More than 10 years,Python,310000,0.80231,248716.1,8.498
AUD,Male,Australia,43,Employed full-time,,,Yes,,Statistician,Fine,Employed by government,Yes,Master's degree,Psychology,More than 10 years,R,110,0.80231,88.2541,8.498
AUD,Male,Australia,32,Employed full-time,,,Yes,,Other,Poorly,Employed by professional services/consulting firm,Yes,Some college/university study without earning a bachelor's degree,Electrical Engineering,More than 10 years,R,137000,0.80231,109916.47,8.498
AUD,Female,Australia,27,"Independent contractor, freelancer, or self-employed",,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,Doctoral degree,Electrical Engineering,1 to 2 years,Python,50000,0.80231,40115.5,8.498
AUD,Female,Australia,32,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Computer Science,3 to 5 years,R,70000,0.80231,56161.7,8.498
AUD,Male,Australia,44,"Independent contractor, freelancer, or self-employed",,,Yes,,Other,Fine,Self-employed,Yes,Bachelor's degree,Computer Science,More than 10 years,Python,160000,0.80231,128369.6,8.498
AUD,Male,Australia,27,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Master's degree,Other,3 to 5 years,Python,80000,0.80231,64184.8,8.498
AUD,Male,Australia,29,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by company that makes advanced analytic software,,Master's degree,Physics,3 to 5 years,R,70000,0.80231,56161.7,8.498
AUD,Male,Australia,43,Employed full-time,,,Yes,,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,,Bachelor's degree,Electrical Engineering,More than 10 years,SAS,250000,0.80231,200577.5,8.498
AUD,Male,Australia,30,Employed full-time,,,Yes,,Software Developer/Software Engineer,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,Computer Science,Less than a year,Python,155000,0.80231,124358.05,8.498
AUD,Female,Australia,34,Employed full-time,,,Yes,,Machine Learning Engineer,Fine,Employed by professional services/consulting firm,Yes,Doctoral degree,A humanities discipline,6 to 10 years,Python,80000,0.80231,64184.8,8.498
AUD,Male,Australia,28,Employed full-time,,,Yes,,Machine Learning Engineer,Fine,Employed by company that makes advanced analytic software,Yes,Bachelor's degree,Computer Science,3 to 5 years,Python,130000,0.80231,104300.3,8.498
AUD,Male,Australia,26,Employed full-time,,,Yes,,Programmer,Fine,"Employed by professional services/consulting firm,Employed by a company that doesn't perform advanced analytics",Sort of (Explain more),Some college/university study without earning a bachelor's degree,Computer Science,3 to 5 years,Python,65000,0.80231,52150.15,8.498
AUD,Male,Australia,0,Employed full-time,,,Yes,,Predictive Modeler,Poorly,Employed by government,Sort of (Explain more),Master's degree,Mathematics or statistics,More than 10 years,R,78000,0.80231,62580.18,8.498
AUD,Male,Australia,27,Employed full-time,,,Yes,,Data Miner,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,Mathematics or statistics,1 to 2 years,R,60000,0.80231,48138.6,8.498
AUD,Female,Australia,29,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by company that makes advanced analytic software,,Master's degree,Mathematics or statistics,6 to 10 years,Python,75000,0.80231,60173.25,8.498
AUD,Female,Australia,49,Employed full-time,,,Yes,,Other,Fine,Employed by government,Sort of (Explain more),Some college/university study without earning a bachelor's degree,Electrical Engineering,More than 10 years,R,,0.80231,,8.498
AUD,Male,Australia,36,Employed full-time,,,Yes,,Software Developer/Software Engineer,Perfectly,Employed by professional services/consulting firm,No,Master's degree,"Information technology, networking, or system administration",6 to 10 years,C/C++/C#,80000,0.80231,64184.8,8.498
AUD,Male,Australia,28,Employed full-time,,,Yes,,Statistician,Perfectly,Employed by professional services/consulting firm,Yes,Master's degree,Mathematics or statistics,3 to 5 years,Python,135000,0.80231,108311.85,8.498
AUD,Male,Australia,50,"Independent contractor, freelancer, or self-employed",,,Yes,,Data Analyst,Poorly,Self-employed,Sort of (Explain more),Bachelor's degree,"Information technology, networking, or system administration",More than 10 years,R,100000,0.80231,80231,8.498
AUD,Male,Australia,39,Employed full-time,,,Yes,,Software Developer/Software Engineer,Fine,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Yes,Professional degree,,3 to 5 years,Python,110000,0.80231,88254.1,8.498
AUD,Male,Australia,,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,,Bachelor's degree,Psychology,More than 10 years,R,120000,0.80231,96277.2,8.498
AUD,Male,Australia,38,Employed full-time,,,Yes,,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,No,Bachelor's degree,,More than 10 years,Python,150000,0.80231,120346.5,8.498
AUD,Male,Australia,37,Employed full-time,,,Yes,,Computer Scientist,Fine,Employed by professional services/consulting firm,Yes,Bachelor's degree,Mathematics or statistics,More than 10 years,Scala,,0.80231,,8.498
AUD,Male,Australia,59,Employed full-time,,,Yes,,Data Analyst,Poorly,Employed by college or university,Sort of (Explain more),Doctoral degree,Mathematics or statistics,More than 10 years,Java,85000,0.80231,68196.35,8.498
AUD,Male,Australia,37,Employed full-time,,,Yes,,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,,Bachelor's degree,Physics,6 to 10 years,Python,147000,0.80231,117939.57,8.498
AUD,Male,Australia,36,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,,Bachelor's degree,,6 to 10 years,R,166000,0.80231,133183.46,8.498
AUD,Male,Australia,29,Employed full-time,,,Yes,,Business Analyst,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Bachelor's degree,Computer Science,6 to 10 years,R,150000,0.80231,120346.5,8.498
AUD,Male,Australia,32,Employed full-time,,,Yes,,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,Yes,Doctoral degree,Biology,More than 10 years,Python,100000,0.80231,80231,8.498
AUD,Male,Australia,60,"Independent contractor, freelancer, or self-employed",,,Yes,,Data Miner,Fine,Self-employed,Yes,Doctoral degree,,More than 10 years,R,60000,0.80231,48138.6,8.498
AUD,Male,Australia,30,Employed full-time,,,Yes,,Business Analyst,Poorly,Employed by company that makes advanced analytic software,Sort of (Explain more),Master's degree,A social science,1 to 2 years,Python,70000,0.80231,56161.7,8.498
AUD,Male,Australia,30,Employed full-time,,,Yes,,Data Scientist,Perfectly,Employed by professional services/consulting firm,,Master's degree,Computer Science,3 to 5 years,Python,160000,0.80231,128369.6,8.498
AUD,Male,Australia,40,Employed full-time,,,Yes,,Other,Poorly,Employed by professional services/consulting firm,Yes,Bachelor's degree,Physics,More than 10 years,R,250000,0.80231,200577.5,8.498
AUD,Male,Australia,63,Employed full-time,,,Yes,,Scientist/Researcher,Poorly,Employed by college or university,Yes,Doctoral degree,Electrical Engineering,More than 10 years,,117000,0.80231,93870.27,8.498
AUD,Male,Australia,38,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,Psychology,More than 10 years,R,115000,0.80231,92265.65,8.498
AUD,Male,Australia,31,Employed part-time,,,Yes,,Other,Fine,Employed by college or university,Sort of (Explain more),Bachelor's degree,Electrical Engineering,1 to 2 years,Python,,0.80231,,8.498
AUD,Female,Australia,37,"Independent contractor, freelancer, or self-employed",,,Yes,,Data Scientist,Fine,Self-employed,,Master's degree,Other,More than 10 years,SQL,180000,0.80231,144415.8,8.498
AUD,Male,Australia,52,Employed full-time,,,Yes,,Scientist/Researcher,Perfectly,Employed by college or university,No,Doctoral degree,Other,More than 10 years,R,180000,0.80231,144415.8,8.498
AUD,Male,Australia,41,Employed full-time,,,Yes,,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,,Doctoral degree,Physics,3 to 5 years,Python,160000,0.80231,128369.6,8.498
AUD,Male,Australia,42,Employed full-time,,,Yes,,Other,Poorly,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",No,Some college/university study without earning a bachelor's degree,Computer Science,3 to 5 years,R,105000,0.80231,84242.55,8.498
AUD,Male,Australia,32,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by college or university,No,Doctoral degree,Other,6 to 10 years,Python,30000,0.80231,24069.3,8.498
AUD,Male,Australia,26,Employed full-time,,,Yes,,Data Analyst,Poorly,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software",No,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,Python,84000,0.80231,67394.04,8.498
AUD,Female,Australia,35,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by college or university,Yes,Doctoral degree,Management information systems,6 to 10 years,R,110000,0.80231,88254.1,8.498
AUD,Male,Australia,40,Employed full-time,,,Yes,,Business Analyst,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,Other,More than 10 years,SQL,150000,0.80231,120346.5,8.498
AUD,Male,Australia,39,Employed part-time,,,Yes,,Data Scientist,Fine,Employed by professional services/consulting firm,,Master's degree,Computer Science,More than 10 years,R,100000,0.80231,80231,8.498
AUD,Male,Australia,25,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by a company that performs advanced analytics,Yes,Bachelor's degree,A social science,3 to 5 years,Python,120000,0.80231,96277.2,8.498
AUD,Male,Australia,53,"Independent contractor, freelancer, or self-employed",,,Yes,,Data Scientist,Poorly,"Employed by a company that doesn't perform advanced analytics,Employed by government",,Bachelor's degree,Computer Science,3 to 5 years,Java,290000,0.80231,232669.9,8.498
AUD,Male,Australia,30,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,Master's degree,Computer Science,6 to 10 years,,250000,0.80231,200577.5,8.498
AUD,Male,Australia,55,Employed full-time,,,Yes,,Other,Fine,Employed by government,No,Professional degree,,More than 10 years,C/C++/C#,140000,0.80231,112323.4,8.498
AUD,Male,Australia,30,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Bachelor's degree,Mathematics or statistics,3 to 5 years,Python,97000,0.80231,77824.07,8.498
AUD,Male,Australia,74,"Independent contractor, freelancer, or self-employed",,,Yes,,Scientist/Researcher,Fine,"Employed by professional services/consulting firm,Employed by a company that performs advanced analytics,Self-employed",Yes,Doctoral degree,A social science,Less than a year,Stata,140000,0.80231,112323.4,8.498
AUD,Male,Australia,33,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by government,Sort of (Explain more),Doctoral degree,A social science,More than 10 years,Python,125000,0.80231,100288.75,8.498
AUD,Male,Australia,43,Employed full-time,,,Yes,,Statistician,Fine,Employed by government,Yes,Doctoral degree,Psychology,More than 10 years,Python,170000,0.80231,136392.7,8.498
AUD,Male,Australia,24,Employed full-time,,,Yes,,Other,Fine,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Bachelor's degree,Engineering (non-computer focused),1 to 2 years,Python,100000,0.80231,80231,8.498
AUD,Male,Australia,28,Employed full-time,,,Yes,,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,,Master's degree,Mathematics or statistics,3 to 5 years,Python,139000,0.80231,111521.09,8.498
AUD,Male,Australia,34,Employed full-time,,,Yes,,Data Analyst,Fine,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Yes,Doctoral degree,Physics,More than 10 years,Python,160000,0.80231,128369.6,8.498
AUD,Female,Australia,39,Employed full-time,,,Yes,,Researcher,Fine,Employed by college or university,Sort of (Explain more),Doctoral degree,Electrical Engineering,More than 10 years,Java,130000,0.80231,104300.3,8.498
AUD,Male,Australia,,Employed full-time,,,Yes,,Business Analyst,Poorly,Employed by a company that performs advanced analytics,Sort of (Explain more),Bachelor's degree,Mathematics or statistics,More than 10 years,Python,,0.80231,,8.498
AUD,Female,Australia,32,Employed full-time,,,Yes,,Scientist/Researcher,Fine,Employed by government,Sort of (Explain more),Bachelor's degree,Mathematics or statistics,6 to 10 years,R,110000,0.80231,88254.1,8.498
AUD,Male,Australia,25,Employed full-time,,,Yes,,Scientist/Researcher,Perfectly,Employed by college or university,Yes,Master's degree,Biology,1 to 2 years,R,26000,0.80231,20860.06,8.498
AUD,Male,Australia,34,Employed full-time,,,Yes,,Data Scientist,Perfectly,Employed by professional services/consulting firm,,Master's degree,Computer Science,More than 10 years,,,0.80231,,8.498
AUD,Male,Australia,45,"Independent contractor, freelancer, or self-employed",,,Yes,,Machine Learning Engineer,Fine,Self-employed,Yes,Master's degree,,1 to 2 years,Python,65000,0.80231,52150.15,8.498
AUD,Male,Australia,63,"Independent contractor, freelancer, or self-employed",,,Yes,,Other,Poorly,Self-employed,No,Doctoral degree,Mathematics or statistics,More than 10 years,Python,100000,0.80231,80231,8.498
AUD,Female,Australia,34,Employed full-time,,,Yes,,Scientist/Researcher,Perfectly,Employed by government,Yes,Master's degree,Electrical Engineering,More than 10 years,Python,100000,0.80231,80231,8.498
AUD,Male,Australia,33,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by professional services/consulting firm,No,Bachelor's degree,Computer Science,6 to 10 years,Python,100000,0.80231,80231,8.498
AUD,Male,Australia,30,Employed full-time,,,Yes,,Data Analyst,Fine,Employed by professional services/consulting firm,No,Master's degree,,1 to 2 years,Python,96000,0.80231,77021.76,8.498
AUD,Male,Australia,39,Employed full-time,,,Yes,,Other,Fine,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Computer Science,6 to 10 years,Python,200000,0.80231,160462,8.498
AUD,Male,Australia,33,Employed full-time,,,Yes,,Programmer,Fine,Employed by a company that doesn't perform advanced analytics,No,Master's degree,Electrical Engineering,Less than a year,Python,75000,0.80231,60173.25,8.498
AUD,Female,Australia,43,Employed full-time,,,Yes,,Business Analyst,Fine,Employed by non-profit or NGO,No,Bachelor's degree,,3 to 5 years,Python,80000,0.80231,64184.8,8.498
AUD,Male,Australia,38,Employed full-time,,,Yes,,Software Developer/Software Engineer,Fine,Employed by a company that performs advanced analytics,Yes,Doctoral degree,A humanities discipline,6 to 10 years,Python,300000,0.80231,240693,8.498
AUD,Male,Australia,30,Employed full-time,,,Yes,,Data Scientist,Perfectly,Employed by professional services/consulting firm,,Master's degree,"Information technology, networking, or system administration",6 to 10 years,R,125000,0.80231,100288.75,8.498
AUD,Male,Australia,36,Employed full-time,,,Yes,,Business Analyst,Fine,Employed by a company that performs advanced analytics,No,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,Python,150000,0.80231,120346.5,8.498
AUD,Female,Australia,23,Employed full-time,,,Yes,,Data Analyst,Poorly,Employed by professional services/consulting firm,No,Bachelor's degree,Other,3 to 5 years,SQL,78000,0.80231,62580.18,8.498
AUD,Male,Australia,50,Employed full-time,,,Yes,,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,,Master's degree,Engineering (non-computer focused),6 to 10 years,Python,200000,0.80231,160462,8.498
AUD,Female,Australia,38,Employed full-time,,,Yes,,Researcher,Fine,Employed by college or university,Yes,Master's degree,"Information technology, networking, or system administration",3 to 5 years,Python,27000,0.80231,21662.37,8.498
AUD,Male,Australia,32,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by professional services/consulting firm,,Doctoral degree,Electrical Engineering,More than 10 years,R,140000,0.80231,112323.4,8.498
AUD,Female,Australia,39,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by a company that performs advanced analytics,,Doctoral degree,Physics,6 to 10 years,Python,350000,0.80231,280808.5,8.498
AUD,Male,Australia,35,Employed full-time,,,Yes,,Software Developer/Software Engineer,Perfectly,Employed by a company that performs advanced analytics,No,Bachelor's degree,Computer Science,3 to 5 years,Python,116000,0.80231,93067.96,8.498
AUD,Female,Australia,48,"Independent contractor, freelancer, or self-employed",,,Yes,,Data Analyst,Poorly,Employed by a company that doesn't perform advanced analytics,No,Master's degree,A humanities discipline,6 to 10 years,R,250000,0.80231,200577.5,8.498
AUD,Female,Australia,25,Employed part-time,,,Yes,,Data Miner,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Master's degree,Mathematics or statistics,Less than a year,Python,65000,0.80231,52150.15,8.498
