,CompensationCurrency,GenderSelect,Country,Age,EmploymentStatus,StudentStatus,LearningDataScience,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,LanguageRecommendationSelect,CompensationAmount,ExchangeRate(USA),CompensationYearUSD
72,AUD,Female,Australia,49,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by government,Sort of (Explain more),Some college/university study without earning a bachelor's degree,Electrical Engineering,More than 10 years,R,NA,0.80231,NA
73,AUD,Male,Australia,36,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Perfectly,Employed by professional services/consulting firm,No,Master's degree,"Information technology, networking, or system administration",6 to 10 years,C/C++/C#,80000,0.80231,64184.8
74,AUD,Male,Australia,28,Employed full-time,NA,NA,Yes,NA,Statistician,Perfectly,Employed by professional services/consulting firm,Yes,Master's degree,Mathematics or statistics,3 to 5 years,Python,135000,0.80231,108311.85
75,AUD,Male,Australia,50,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Analyst,Poorly,Self-employed,Sort of (Explain more),Bachelor's degree,"Information technology, networking, or system administration",More than 10 years,R,1.00E+05,0.80231,80231
76,AUD,Male,Australia,39,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Yes,Professional degree,NA,3 to 5 years,Python,110000,0.80231,88254.1
77,AUD,Male,Australia,NA,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,NA,Bachelor's degree,Psychology,More than 10 years,R,120000,0.80231,96277.2
78,AUD,Male,Australia,38,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,No,Bachelor's degree,NA,More than 10 years,Python,150000,0.80231,120346.5
79,AUD,Male,Australia,37,Employed full-time,NA,NA,Yes,NA,Computer Scientist,Fine,Employed by professional services/consulting firm,Yes,Bachelor's degree,Mathematics or statistics,More than 10 years,Scala,NA,0.80231,NA
80,AUD,Male,Australia,59,Employed full-time,NA,NA,Yes,NA,Data Analyst,Poorly,Employed by college or university,Sort of (Explain more),Doctoral degree,Mathematics or statistics,More than 10 years,Java,85000,0.80231,68196.35
81,AUD,Male,Australia,37,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,NA,Bachelor's degree,Physics,6 to 10 years,Python,147000,0.80231,117939.57
82,AUD,Male,Australia,36,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,NA,Bachelor's degree,NA,6 to 10 years,R,166000,0.80231,133183.46
83,AUD,Male,Australia,29,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Bachelor's degree,Computer Science,6 to 10 years,R,150000,0.80231,120346.5
84,AUD,Male,Australia,32,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,Yes,Doctoral degree,Biology,More than 10 years,Python,1.00E+05,0.80231,80231
85,AUD,Male,Australia,60,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Miner,Fine,Self-employed,Yes,Doctoral degree,NA,More than 10 years,R,60000,0.80231,48138.6
86,AUD,Male,Australia,30,Employed full-time,NA,NA,Yes,NA,Business Analyst,Poorly,Employed by company that makes advanced analytic software,Sort of (Explain more),Master's degree,A social science,1 to 2 years,Python,70000,0.80231,56161.7
87,AUD,Male,Australia,30,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by professional services/consulting firm,NA,Master's degree,Computer Science,3 to 5 years,Python,160000,0.80231,128369.6
88,AUD,Male,Australia,40,Employed full-time,NA,NA,Yes,NA,Other,Poorly,Employed by professional services/consulting firm,Yes,Bachelor's degree,Physics,More than 10 years,R,250000,0.80231,200577.5
89,AUD,Male,Australia,63,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Poorly,Employed by college or university,Yes,Doctoral degree,Electrical Engineering,More than 10 years,NA,117000,0.80231,93870.27
90,AUD,Male,Australia,38,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,Psychology,More than 10 years,R,115000,0.80231,92265.65
91,AUD,Male,Australia,31,Employed part-time,NA,NA,Yes,NA,Other,Fine,Employed by college or university,Sort of (Explain more),Bachelor's degree,Electrical Engineering,1 to 2 years,Python,NA,0.80231,NA
92,AUD,Female,Australia,37,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Scientist,Fine,Self-employed,NA,Master's degree,Other,More than 10 years,SQL,180000,0.80231,144415.8
93,AUD,Male,Australia,52,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by college or university,No,Doctoral degree,Other,More than 10 years,R,180000,0.80231,144415.8
94,AUD,Male,Australia,41,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,NA,Doctoral degree,Physics,3 to 5 years,Python,160000,0.80231,128369.6
95,AUD,Male,Australia,42,Employed full-time,NA,NA,Yes,NA,Other,Poorly,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",No,Some college/university study without earning a bachelor's degree,Computer Science,3 to 5 years,R,105000,0.80231,84242.55
96,AUD,Male,Australia,32,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by college or university,No,Doctoral degree,Other,6 to 10 years,Python,30000,0.80231,24069.3
97,AUD,Male,Australia,26,Employed full-time,NA,NA,Yes,NA,Data Analyst,Poorly,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software",No,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,Python,84000,0.80231,67394.04
98,AUD,Female,Australia,35,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by college or university,Yes,Doctoral degree,Management information systems,6 to 10 years,R,110000,0.80231,88254.1
99,AUD,Male,Australia,40,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,Other,More than 10 years,SQL,150000,0.80231,120346.5
100,AUD,Male,Australia,39,Employed part-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by professional services/consulting firm,NA,Master's degree,Computer Science,More than 10 years,R,1.00E+05,0.80231,80231
101,AUD,Male,Australia,25,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by a company that performs advanced analytics,Yes,Bachelor's degree,A social science,3 to 5 years,Python,120000,0.80231,96277.2
102,AUD,Male,Australia,53,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Scientist,Poorly,"Employed by a company that doesn't perform advanced analytics,Employed by government",NA,Bachelor's degree,Computer Science,3 to 5 years,Java,290000,0.80231,232669.9
103,AUD,Male,Australia,30,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,Computer Science,6 to 10 years,NA,250000,0.80231,200577.5
104,AUD,Male,Australia,55,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by government,No,Professional degree,NA,More than 10 years,C/C++/C#,140000,0.80231,112323.4
105,AUD,Male,Australia,30,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Bachelor's degree,Mathematics or statistics,3 to 5 years,Python,97000,0.80231,77824.07
106,AUD,Male,Australia,74,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Scientist/Researcher,Fine,"Employed by professional services/consulting firm,Employed by a company that performs advanced analytics,Self-employed",Yes,Doctoral degree,A social science,Less than a year,Stata,140000,0.80231,112323.4
107,AUD,Male,Australia,33,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by government,Sort of (Explain more),Doctoral degree,A social science,More than 10 years,Python,125000,0.80231,100288.75
108,AUD,Male,Australia,43,Employed full-time,NA,NA,Yes,NA,Statistician,Fine,Employed by government,Yes,Doctoral degree,Psychology,More than 10 years,Python,170000,0.80231,136392.7
109,AUD,Male,Australia,24,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Bachelor's degree,Engineering (non-computer focused),1 to 2 years,Python,1.00E+05,0.80231,80231
110,AUD,Male,Australia,28,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,NA,Master's degree,Mathematics or statistics,3 to 5 years,Python,139000,0.80231,111521.09
111,AUD,Male,Australia,34,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Yes,Doctoral degree,Physics,More than 10 years,Python,160000,0.80231,128369.6
112,AUD,Female,Australia,39,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,Employed by college or university,Sort of (Explain more),Doctoral degree,Electrical Engineering,More than 10 years,Java,130000,0.80231,104300.3
113,AUD,Male,Australia,NA,Employed full-time,NA,NA,Yes,NA,Business Analyst,Poorly,Employed by a company that performs advanced analytics,Sort of (Explain more),Bachelor's degree,Mathematics or statistics,More than 10 years,Python,NA,0.80231,NA
114,AUD,Female,Australia,32,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by government,Sort of (Explain more),Bachelor's degree,Mathematics or statistics,6 to 10 years,R,110000,0.80231,88254.1
115,AUD,Male,Australia,25,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by college or university,Yes,Master's degree,Biology,1 to 2 years,R,26000,0.80231,20860.06
116,AUD,Male,Australia,34,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by professional services/consulting firm,NA,Master's degree,Computer Science,More than 10 years,NA,NA,0.80231,NA
118,AUD,Male,Australia,45,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Machine Learning Engineer,Fine,Self-employed,Yes,Master's degree,NA,1 to 2 years,Python,65000,0.80231,52150.15
119,AUD,Male,Australia,63,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Other,Poorly,Self-employed,No,Doctoral degree,Mathematics or statistics,More than 10 years,Python,1.00E+05,0.80231,80231
120,AUD,Female,Australia,34,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by government,Yes,Master's degree,Electrical Engineering,More than 10 years,Python,1.00E+05,0.80231,80231
121,AUD,Male,Australia,33,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by professional services/consulting firm,No,Bachelor's degree,Computer Science,6 to 10 years,Python,1.00E+05,0.80231,80231
122,AUD,Male,Australia,30,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by professional services/consulting firm,No,Master's degree,NA,1 to 2 years,Python,96000,0.80231,77021.76
123,AUD,Male,Australia,39,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Computer Science,6 to 10 years,Python,2.00E+05,0.80231,160462
124,AUD,Male,Australia,33,Employed full-time,NA,NA,Yes,NA,Programmer,Fine,Employed by a company that doesn't perform advanced analytics,No,Master's degree,Electrical Engineering,Less than a year,Python,75000,0.80231,60173.25
125,AUD,Female,Australia,43,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by non-profit or NGO,No,Bachelor's degree,NA,3 to 5 years,Python,80000,0.80231,64184.8
126,AUD,Male,Australia,38,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by a company that performs advanced analytics,Yes,Doctoral degree,A humanities discipline,6 to 10 years,Python,3.00E+05,0.80231,240693
127,AUD,Male,Australia,30,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by professional services/consulting firm,NA,Master's degree,"Information technology, networking, or system administration",6 to 10 years,R,125000,0.80231,100288.75
128,AUD,Male,Australia,36,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by a company that performs advanced analytics,No,Bachelor's degree,"Information technology, networking, or system administration",Less than a year,Python,150000,0.80231,120346.5
129,AUD,Female,Australia,23,Employed full-time,NA,NA,Yes,NA,Data Analyst,Poorly,Employed by professional services/consulting firm,No,Bachelor's degree,Other,3 to 5 years,SQL,78000,0.80231,62580.18
